id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
2016,47,248,9,24.5,0,29,79,9,0,4,5,0,0,2,4,"rgb(107,174,214)","rgb(114,142,25)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2020,44,828,11,35.2,0,26,71,12,0,3,8,0,1,2,4,"rgb(158,202,225)","rgb(45,56,10)","rgb(227,149,95)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2050,78,2344,29,53,0,34,34,15,0,8,8,7,5,2,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
2060,47,0,8,29.4,33,34,61,9,0,4,0,0,0,7,4,"rgb(107,174,214)","rgb(200,229,109)","rgb(129,66,23)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2068,47,54,7,27.9,0,28,,6,0,4,0,0,0,2,4,"rgb(107,174,214)","rgb(200,229,109)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2070,62,825,30,51.6,0,37,51,14,0,6,8,7,4,2,4,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2090,40,790,10,28.8,0,26,65,11,0,3,8,0,0,2,4,"rgb(158,202,225)","rgb(45,56,10)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2100,47,266,17,35,0,28,70,8,0,4,5,3,1,2,4,"rgb(107,174,214)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,219,234)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2110,34,400,9,28.7,32,27,74,10,0,2,7,0,0,7,4,"rgb(198,219,239)","rgb(68,85,15)","rgb(129,66,23)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
2122,32,229,14,32.2,0,29,70,10,0,2,5,2,1,2,4,"rgb(198,219,239)","rgb(114,142,25)","rgb(227,149,95)","rgb(13,240,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
